time,mode,percents
01/12/19,MasterCard,55.55555555555556
01/12/19,Visa,80.0
01/01/20,MasterCard,100.0
01/01/20,Tinkoff.ru,0.0
01/01/20,Visa,66.66666666666666
01/01/20,МИР,100.0
01/02/20,MasterCard,100.0
01/02/20,Visa,100.0
01/03/20,MasterCard,94.11764705882352
01/03/20,Tinkoff.ru,50.0
01/03/20,Visa,100.0
01/04/20,MasterCard,100.0
01/04/20,Visa,100.0
01/05/20,MasterCard,92.85714285714286
01/05/20,Tinkoff.ru,100.0
01/05/20,Visa,93.75
01/05/20,МИР,0.0
01/06/20,MasterCard,96.66666666666667
01/06/20,Tinkoff.ru,80.0
01/06/20,Visa,86.95652173913044
01/06/20,МИР,100.0
01/07/20,Apple Pay,100.0
01/07/20,Google Pay,75.0
01/07/20,MasterCard,80.0
01/07/20,Tinkoff.ru,60.0
01/07/20,Visa,85.71428571428571
01/07/20,МИР,100.0
01/08/20,Apple Pay,100.0
01/08/20,Google Pay,85.71428571428571
01/08/20,MasterCard,91.07142857142857
01/08/20,Tinkoff.ru,66.66666666666666
01/08/20,Visa,84.21052631578947
01/08/20,МИР,100.0
01/09/20,Apple Pay,92.3076923076923
01/09/20,Google Pay,75.0
01/09/20,MasterCard,89.0625
01/09/20,Tinkoff.ru,66.66666666666666
01/09/20,Visa,90.0
01/09/20,МИР,100.0
01/10/20,Apple Pay,100.0
01/10/20,Google Pay,100.0
01/10/20,MasterCard,100.0
01/10/20,Tinkoff.ru,85.71428571428571
01/10/20,Visa,92.85714285714286
01/10/20,МИР,85.71428571428571
01/11/20,Apple Pay,91.66666666666666
01/11/20,Google Pay,80.0
01/11/20,MasterCard,96.22641509433963
01/11/20,Tinkoff.ru,85.71428571428571
01/11/20,Visa,96.29629629629629
01/11/20,МИР,100.0
01/12/20,Apple Pay,100.0
01/12/20,Google Pay,72.0
01/12/20,MasterCard,97.87234042553192
01/12/20,Tinkoff.ru,60.0
01/12/20,Visa,86.95652173913044
01/12/20,МИР,100.0
01/01/21,Apple Pay,100.0
01/01/21,Google Pay,95.0
01/01/21,MasterCard,88.88888888888889
01/01/21,Tinkoff.ru,75.0
01/01/21,Visa,82.75862068965517
01/01/21,МИР,100.0
01/02/21,Apple Pay,95.45454545454545
01/02/21,Google Pay,80.76923076923077
01/02/21,MasterCard,100.0
01/02/21,Tinkoff.ru,87.5
01/02/21,Visa,94.44444444444444
01/02/21,МИР,80.0
01/03/21,Apple Pay,95.23809523809523
01/03/21,Google Pay,86.95652173913044
01/03/21,MasterCard,90.19607843137256
01/03/21,Tinkoff.ru,100.0
01/03/21,Visa,93.93939393939394
01/03/21,МИР,100.0
01/04/21,Apple Pay,100.0
01/04/21,Google Pay,85.18518518518519
01/04/21,MasterCard,91.66666666666666
01/04/21,Tinkoff.ru,70.0
01/04/21,Visa,100.0
01/04/21,МИР,100.0
01/05/21,Apple Pay,100.0
01/05/21,Google Pay,90.32258064516128
01/05/21,MasterCard,92.98245614035088
01/05/21,Tinkoff.ru,83.33333333333334
01/05/21,Visa,86.36363636363636
01/05/21,МИР,100.0
01/06/21,Apple Pay,93.10344827586206
01/06/21,Google Pay,94.28571428571428
01/06/21,MasterCard,92.15686274509804
01/06/21,Tinkoff.ru,80.0
01/06/21,Visa,94.87179487179486
01/06/21,МИР,100.0
01/07/21,Apple Pay,100.0
01/07/21,Google Pay,94.5945945945946
01/07/21,MasterCard,85.71428571428571
01/07/21,Tinkoff.ru,62.5
01/07/21,Visa,88.70967741935483
01/07/21,МИР,100.0
01/08/21,Apple Pay,96.66666666666667
01/08/21,Google Pay,100.0
01/08/21,MasterCard,84.81012658227847
01/08/21,Tinkoff.ru,60.0
01/08/21,Visa,89.13043478260869
01/08/21,МИР,100.0
01/09/21,Apple Pay,97.67441860465115
01/09/21,Google Pay,93.75
01/09/21,MasterCard,91.95402298850574
01/09/21,Tinkoff.ru,77.77777777777779
01/09/21,Visa,95.08196721311475
01/09/21,МИР,88.88888888888889
01/10/21,Apple Pay,97.72727272727273
01/10/21,Google Pay,94.54545454545455
01/10/21,MasterCard,88.88888888888889
01/10/21,Tinkoff.ru,66.66666666666666
01/10/21,Visa,96.92307692307692
01/10/21,МИР,100.0
01/11/21,Apple Pay,95.45454545454545
01/11/21,Google Pay,88.0
01/11/21,MasterCard,87.93103448275862
01/11/21,Tinkoff.ru,64.70588235294117
01/11/21,Visa,78.3132530120482
01/11/21,МИР,100.0
01/12/21,Apple Pay,95.74468085106383
01/12/21,Google Pay,98.50746268656717
01/12/21,MasterCard,92.7536231884058
01/12/21,Tinkoff.ru,81.81818181818183
01/12/21,Visa,81.25
01/12/21,МИР,100.0
01/01/22,Apple Pay,83.33333333333334
01/01/22,Google Pay,100.0
01/01/22,MasterCard,100.0
01/01/22,Tinkoff.ru,100.0
01/01/22,Visa,34.78260869565217
01/01/22,МИР,100.0
